item_id,seller,ships_to,ships_from,category,first_seen,last_seen
ecb9121032,9531cbd1d5,Worldwide,"United States of America",93,1328247802,1337918976
15a1e2c1e9,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335862910
6db137940c,8e0e0fdcf0,"United States of America","United States of America",22,1328246661,1335865962
8191c1c7fc,8e0e0fdcf0,"United States of America","United States of America",22,1328243778,1335865959
d9a9f604d1,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1333529267
f07ef4f7e1,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335862910
290a2b5074,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1332734168
f660018462,8e0e0fdcf0,"United States of America","United States of America",22,1328246329,1335858053
d1cfd356c9,04ed0e0533,"World wide","The Netherlands",41,1328241609,1332726248
e829c225e8,04ed0e0533,"Wordl wide","The Netherlands",161,1328241640,1343117776
65e1e6d514,81cd80bcd9,Worldwide,undeclared,142,1328238067,1343102050
9b47c3d836,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335866007
53159e2260,8e0e0fdcf0,"United States of America","United States of America",22,1328243964,1335866004
da56bcd47a,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335865976
252b51429a,8e0e0fdcf0,"United States of America","United States of America",22,1328244228,1335866135
866f5362e8,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1330068415
b614f8f0c5,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1335862910
6daf60e7d9,8e0e0fdcf0,"United States of America","United States of America",22,1328243778,1335866133
daebe6ff3f,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335858053
8045b968f4,8e0e0fdcf0,"United States of America","United States of America",22,1328246329,1335868085
ae463ee4ab,8e0e0fdcf0,"United States of America",Uzbekistan,22,1328243778,1335862910
c40f0c7cad,8e0e0fdcf0,"United States of America","United States of America",22,1328246450,1335865973
575f436123,8e0e0fdcf0,"United States of America","United States of America",22,1328249211,1335865951
b25902c6a2,8e0e0fdcf0,"United States of America","United States of America",22,1328243778,1332739838
f18429c25d,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335862910
ffd4ac3ea5,8e0e0fdcf0,"United States of America","United States of America",22,1328246331,1333962415
31d7c08b45,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335858099
5bbdf07cf3,8ea737f58e,Worldwide,Syria,145,1328242535,1329707614
5bec1f555b,f24672929d,Worldwide,"United Kingdom",94,1328238610,1343088844
c5717e4564,a885b37384,Worldwide,undeclared,128,1328238165,1328754961
9aafba57d1,a885b37384,Worldwide,undeclared,128,1328238194,1328754959
d30df20376,f2fd00d797,"United States of America","United States of America",23,1328243737,1328763739
eafd90b733,e2d0654090,"Your Inbox","My Inbox",93,1328242254,1331000803
becbefcdf5,88c806953f,Worldwide,"United States of America",47,1328241219,1340411657
6fe2eb06c8,0d8550d7cf,Worldwide,"United States of America",63,1328239878,1328505232
f6cbbd8426,8b54c215a6,Worldwide,"United States of America",70,1328242191,1329538775
2b8dacc28e,8b54c215a6,Worldwide,"United States of America",70,1328242191,1329538774
4503265485,17fd5d25cb,Worldwide,Canada,23,1328243755,1341365157
c503b1ec6c,dd4acbbbc5,Worldwide,"United Kingdom",92,1328244646,1329962107
c79fd72f5a,f20b5749bc,USA,USA,94,1328238629,1337041282
19a48685a4,4a96cfef82,Worldwide,undeclared,56,1328242048,1343114520
88786835eb,4a96cfef82,Worldwide,undeclared,56,1328243264,1343114514
b6ff1f213c,4a96cfef82,Worldwide,undeclared,56,1328243264,1343114512
abda5b5156,d1295b4123,Worldwide,undeclared,143,1328245288,1342667541
4349083b35,a885b37384,"EU, CH, and NO",undeclared,22,1328242317,1329635025
c2a05b48b3,6a331d36c0,Worldwide,undeclared,122,1328242186,1343111933
a0050712d4,4b301c7f86,Worldwide,"United States of America",25,1328240119,1333958243
843f15840b,6a331d36c0,Worldwide,undeclared,142,1328238033,1343100107
9988757606,84935397f2,"United States of America","United States of America",70,1328247319,1335862772
4525330aad,f1b4a51172,Worldwide,"United Kingdom",63,1328239891,1328674444
aeec610a1b,125fdac028,"United States of America",undeclared,1,1328243720,1332822031
740c2480f9,7544e70c1d,"United States of America","United States of America",51,1328244487,1331021905
b9dc6426c3,125fdac028,"United States of America",undeclared,1,1328243720,1332822026
18cf585ecc,7544e70c1d,"United States of America","United States of America",63,1328239918,1329541384
4f8318e74f,125fdac028,US,Anywhere,1,1328243720,1332822024
019650bb0a,125fdac028,US,Anywhere,1,1328243720,1328326953
64d102bedf,125fdac028,US,Anywhere,1,1328243720,1332822019
0c2b01344d,5eda5e1e3b,Worldwide,UK,144,1328239829,1343108846
1bbaa10e6d,5eda5e1e3b,Worldwide,UK,144,1328239829,1339202847
4f7a413406,5eda5e1e3b,Worldwide,UK,144,1328239829,1343108844
ed52a984ef,5eda5e1e3b,"EU, USA, and Canada","United Kingdom",144,1328239918,1343108843
d29b945585,97ec97532e,Worldwide,"United States of America",144,1328241573,1343093631
fad17a61a3,4ede778164,Worldwide,Spain,23,1328243745,1343115520
1850c7ec30,6a331d36c0,Worldwide,undeclared,122,1328242190,1343098792
260ab4e1a5,6a331d36c0,Worldwide,undeclared,93,1328242225,1343100430
05b3514ca7,04ed0e0533,Worldwide,"The Netherlands",41,1328241609,1341969109
300111598d,04ed0e0533,Worldwide,"The Netherlands",41,1328241609,1341969107
98318f86ce,04ed0e0533,Worldwide,"The Netherlands",41,1328241609,1341969104
5ecf14c3d2,7544e70c1d,"United States of America","United States of America",51,1328241292,1331036423
516971ac3b,04ed0e0533,Worldwide,"The Netherlands",41,1328241609,1341969102
df77d02f41,8b54c215a6,"United States of America","United States of America",138,1328237896,1333155511
550a90dab9,8b54c215a6,Worldwide,"United States of America",92,1328242191,1343112697
043bfc816e,8b54c215a6,Worldwide,"United States of America",92,1328241558,1343112695
99ab87a0c5,8b54c215a6,Worldwide,"United States of America",92,1328242191,1343112693
08ed59f83f,7c1ca8ce36,Worldwide,"United Kingdom",63,1328240026,1329784645
1e49a97f3a,8edf865745,Worldwide,undeclared,98,1328242461,1342940624
dc5a4c4d38,4586127991,Worldwide,"United States of America",52,1328243608,1328330778
174b7606c7,2d13e9120b,"United States of America","United States of America",23,1328243737,1343114982
c4ecf0902e,88c806953f,"United States of America","United States of America",70,1328241219,1343106188
c92bab13ce,88c806953f,"United States of America","United States of America",70,1328241219,1343106185
72cbb04ef2,88c806953f,"United States of America","United States of America",70,1328241219,1343106180
769162d223,7ba5229777,Worldwide,Germany,92,1328236787,1328490956
15ef01ed53,7ba5229777,"European Union",Germany,107,1328238672,1330220594
adca278154,7c1ca8ce36,Worldwide,undeclared,109,1328238672,1330919863
328de0ccb8,1859cc4d9e,Worldwide,Germany,94,1328242570,1343088857
f8079daa7e,538fde2015,"United States of America","United States of America",22,1328246061,1335674507
83988e0d9e,945fbdaa6b,"United States of America","United States of America",48,1328241385,1339482860
173cbec41b,96a47b267f,Worldwide,undeclared,98,1328242455,1342965212
6398eabe09,96a47b267f,Worldwide,undeclared,155,1328242436,1342962505
aee361b9a7,c058f1dea7,Worldwide,"United States of America",146,1328244821,1330465821
dcef7d36ef,9531cbd1d5,Worldwide,"United States of America",143,1328245346,1337918721
3eee76d05d,de181326ad,"United States of America","United States of America",26,1328240239,1329878544
58e3c006fd,e5e9c21007,"EU, CH, and NO",Germany,23,1328240296,1336638864
41e328f535,e5e9c21007,"EU, CH, and NO",Germany,23,1328243745,1336632932
4c68296fbe,e5e9c21007,"EU, CH, and NO",Germany,23,1328240296,1330136394
75ed513119,e5e9c21007,"EU, CH, and NO",Germany,23,1328240634,1330136411
803ed74df3,e5e9c21007,"EU, CH, and NO",Germany,23,1328231714,1330136711
6d5bc471e3,e5e9c21007,"EU, CH, and NO",Germany,23,1328240634,1330136708
972d7cd92c,99ab87a0c5,Worldwide,Germany,171,1328239353,1336892654
02c68910bc,d4f1cc91c8,Worldwide,undeclared,127,1328238130,1328490003
97b64a46eb,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335862910
b42f35dd4c,8e0e0fdcf0,"United States of America","United States of America",22,1328244229,1335865979
db3c573a0d,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1335858136
544a1ff61f,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1332739812
863bc10cb8,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1335862753
41bff111cf,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335868083
53ac386baa,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335862751
d915c75633,8e0e0fdcf0,"United States of America","United States of America",22,1328246328,1335865956
7a41e3f618,0870c02e47,"United States of America","United States of America",1,1328244179,1329110752
794b21b7d3,1859cc4d9e,Worldwide,Germany,33,1328241189,1338805670
92de792e9f,f1b4a51172,Worldwide,"United Kingdom",62,1328234967,1335074069
fa2d76779a,8edf865745,Worldwide,undeclared,98,1328242474,1342930741
cb88be58e4,8edf865745,Worldwide,undeclared,155,1328242481,1342930638
c02b7c279c,da60883651,Worldwide,Canada,26,1328243686,1332484020
6e9de15d83,3d14f7e8bc,Worldwide,"South Africa",22,1328239232,1331037023
8d486bc898,48b5a11a4d,"United States of America","United States of America",53,1328241961,1340577229
ea0d824457,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335868082
b475d11ad5,8e0e0fdcf0,"United States of America","United States of America",22,1328243760,1335866127
7fdc2c94ff,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335865953
9a024bdfbe,6a331d36c0,Worldwide,undeclared,122,1328242155,1343111429
2436d90f8c,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335862748
5a5cf98880,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335862748
7c4265312e,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335862748
e5868d0d51,8e0e0fdcf0,"United States of America","United States of America",22,1328243758,1335862748
20acbb1b43,8e0e0fdcf0,"United States of America","United States of America",28,1328241764,1329098472
75b4734109,2b0b7fe34d,Worldwide,"United States of America",51,1328241408,1328938559
a31d9f4450,8e0e0fdcf0,"United States of America","United States of America",24,1328240308,1335868081
a0e7fc16a8,3d9c8ec96c,"United States of America","United States of America",51,1328245383,1331034378
4b3cfa952a,8f335096c5,Worldwide,"United States of America",93,1328238067,1343112994
6ae03e1636,0cfc0a3fd2,"United States of America","United States of America",63,1328240044,1328240044
5c004cdb95,d4f1cc91c8,Worldwide,undeclared,56,1328241930,1328931671
b34a12e0ce,ef73200a95,Worldwide,Netherlands,23,1328240652,1329201985
935e27a88e,ef73200a95,Worldwide,Netherlands,23,1328240652,1328928018
0da45342c9,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913024
122036de61,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913023
412ced9bd8,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913021
9844ff0893,e6c92b58e7,"Worldwide except USA","United Kingdom",59,1328241014,1328676530
dffc7b82f8,e6c92b58e7,"Worldwide except USA","United Kingdom",59,1328241014,1328676539
6dd951140d,e6c92b58e7,"Worldwide except USA","United Kingdom",59,1328241014,1328676521
f843813b29,013c9c29d8,Worldwide,undeclared,142,1328239500,1331028039
1f99c27a31,f24672929d,Worldwide,Australia,63,1328239941,1329270561
4c68eaf58a,96a47b267f,Worldwide,undeclared,98,1328242485,1343122337
47e48726e0,a9f6798f8a,Worldwide,Canada,22,1328243931,1335339758
ad77482e5f,a9f6798f8a,Worldwide,Canada,22,1328243931,1335345753
32eef411b0,a9f6798f8a,Worldwide,Canada,22,1328243931,1335345750
ef6a57d286,a9f6798f8a,Worldwide,Canada,22,1328243931,1335345748
1f6c5fa198,a9f6798f8a,Worldwide,Canada,22,1328243930,1336007871
f3ac3c5af2,a9f6798f8a,Worldwide,Canada,22,1328244228,1336026501
6edb12463f,a9f6798f8a,Worldwide,Canada,22,1328246415,1336030938
0ab6aa4ba6,a9f6798f8a,Worldwide,Canada,22,1328243930,1336030935
ea696a0da3,f24672929d,Australia,Australia,51,1328243569,1335852891
b4ef9a9d3a,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913019
db1a51f692,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913018
97a361d818,8e65664d8d,"United States of America","United States of America",92,1328241417,1337913015
f68b01bd8b,013c9c29d8,Worldwide,undeclared,142,1328239500,1331028035
fc969f66bc,013c9c29d8,Worldwide,undeclared,142,1328239500,1331028020
9fbd802dc8,013c9c29d8,Worldwide,undeclared,142,1328239500,1331028031
992b75da0f,013c9c29d8,Worldwide,undeclared,142,1328239500,1331028043
12b2cef085,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333066195
799672b0a5,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333077360
9fcbe46e34,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333088853
45d3ad1ea2,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333088850
340cb91faf,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333077305
43e65f3101,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078258
a3ed337bd7,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333077309
97c53e305e,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078367
ec3a8219f4,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078276
a4ff1e5cbc,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078201
08678b87c7,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333077294
d6d1dff04a,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090623
3e8e979be6,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333079752
5944e01598,7c1ca8ce36,Worldwide,undeclared,63,1328241016,1343106328
7192bf7558,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078369
22114af2f8,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090632
aaafe8f40f,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333090638
318927127b,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090627
3a7518785a,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078328
813f54ae79,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333066183
a90538c9f2,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333090642
82d90b06a6,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090621
e0d24383f3,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090619
a838f36bd1,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078291
4bbc87f6dd,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090613
959a10c404,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333059009
e87cf20749,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333066179
c7b1d507cb,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090615
1394d15f4b,bec3a37f6d,"United States of America","United States of America",25,1328243652,1335080968
dda2da0381,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090618
90060e36e1,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077430
b369085bc4,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077434
0d08dbc207,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077444
5854f637f3,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333077380
f90c069df0,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077145
272004ba03,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333066218
65477ec742,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078315
95dc00b4cf,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077157
4690c4e318,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078257
7175286cdd,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333066205
10f413af7f,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077197
28841b81c3,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077135
d7a6025429,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078359
6babbf19ed,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090636
a369797da9,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333066220
22c829955a,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078377
8a0a303143,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333077381
878ea8680e,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333077394
2e97b4c121,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333090635
e2ef0d686f,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333077131
9c7f40a504,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333090624
004955be92,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333077129
0b78939883,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333090625
f14989281e,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333079775
1f54f043f4,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078305
8f59914e20,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333079773
73cc9cd93e,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333078420
25f017b24c,2a0b308dc1,Worldwide,"United Kingdom",79,1328246362,1333079744
2133b1e1e6,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090611
f5011df193,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333078321
c183c1b40a,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078278
ceefb8dc28,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333079737
a4f53afb2f,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090631
8d50fcd07d,2a0b308dc1,Worldwide,"United Kingdom",79,1328246406,1333090609
a8c7a42e35,2a0b308dc1,Worldwide,"United Kingdom",79,1328246407,1333079741
c34443ae98,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078372
7e39360566,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078237
969d46c8da,2a0b308dc1,Worldwide,"United Kingdom",79,1328243889,1333078210
4eac46b085,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078282
27af407e10,2a0b308dc1,Worldwide,"United Kingdom",79,1328243862,1333066137
d72310d14f,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333078252
e5d5d19955,2a0b308dc1,Worldwide,"United Kingdom",79,1328240399,1333066098
